NOTA,Rango,Año,EA,EG,BT
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,1,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,1,0
0.72,3,2023,0,0,0
0.80,4,2023,0,0,0
0.81,4,2023,0,0,0
0.84,4,2023,0,0,0
0.85,4,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.87,5,2023,0,0,0
0.48,1,2023,0,1,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.79,3,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.37,1,2023,0,1,0
0.64,2,2023,0,0,0
0.65,2,2023,0,0,0
0.69,2,2023,0,0,0
0.72,3,2023,0,0,0
0.74,3,2023,0,0,0
0.79,3,2023,0,0,0
0.80,4,2023,0,0,0
0.82,4,2023,0,0,0
0.85,4,2023,0,0,0
0.86,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.42,1,2023,0,1,0
0.78,3,2023,0,0,0
0.84,4,2023,0,0,0
0.90,5,2023,0,0,0
0.86,5,2023,0,0,0
0.91,5,2023,0,0,0
0.00,1,2023,1,0,0
0.58,2,2023,0,1,0
0.60,2,2023,0,0,0
0.68,2,2023,0,0,0
0.76,3,2023,0,0,0
0.76,3,2023,0,0,0
0.79,3,2023,0,0,0
0.80,4,2023,0,0,0
0.80,4,2023,0,0,0
0.82,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.85,5,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.46,1,2023,0,1,0
0.70,2,2023,0,0,0
0.80,4,2023,0,0,0
0.81,4,2023,0,0,0
0.82,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.94,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.35,1,2023,0,1,0
0.66,2,2023,0,0,0
0.80,3,2023,0,0,0
0.80,3,2023,0,0,0
0.85,5,2023,0,0,0
0.94,6,2023,0,0,0
0.73,3,2023,0,0,0
0.79,3,2023,0,0,0
0.82,4,2023,0,0,0
0.85,4,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
1.00,6,2023,0,0,0
0.84,4,2023,0,0,0
0.88,5,2023,0,0,0
0.96,6,2023,0,0,0
0.62,2,2023,0,1,0
0.92,6,2023,0,0,0
0.87,5,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.98,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.00,1,2023,1,0,0
0.41,1,2023,0,1,0
0.44,1,2023,0,1,0
0.57,2,2023,0,0,0
0.74,3,2023,0,0,0
0.76,3,2023,0,0,0
0.79,3,2023,0,0,0
0.81,4,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.80,3,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.44,1,2023,0,1,0
0.63,2,2023,0,1,0
0.65,2,2023,0,1,0
0.74,3,2023,0,0,0
0.81,4,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.88,5,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.47,1,2023,0,1,0
0.53,2,2023,0,1,0
0.53,2,2023,0,1,0
0.59,2,2023,0,1,0
0.63,2,2023,0,1,0
0.78,3,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.55,2,2023,0,1,0
0.61,2,2023,0,1,0
0.61,2,2023,0,1,0
0.65,2,2023,0,0,0
0.80,3,2023,0,0,0
0.80,4,2023,0,1,0
0.84,4,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.51,2,2023,0,1,0
0.54,2,2023,0,1,0
0.78,3,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.91,6,2023,0,0,0
0.92,6,2023,0,0,0
1.00,6,2023,0,0,0
0.78,3,2023,0,0,0
0.00,1,2023,1,0,0
0.00,1,2023,1,0,0
0.54,2,2023,0,1,0
0.56,2,2023,0,1,0
0.64,2,2023,0,0,0
0.69,2,2023,0,0,0
0.74,3,2023,0,0,0
0.79,3,2023,0,0,0
0.82,4,2023,0,0,0
0.82,4,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.85,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.45,1,2023,0,1,0
0.53,2,2023,0,1,0
0.65,2,2023,0,0,0
0.72,3,2023,0,0,0
0.74,3,2023,0,0,0
0.79,3,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.85,4,2023,0,0,0
0.86,5,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.53,2,2023,0,1,0
0.57,2,2023,0,0,0
0.69,2,2023,0,0,0
0.80,3,2023,0,0,0
0.84,4,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.72,3,2023,0,0,0
0.73,3,2023,0,0,0
0.86,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.93,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.44,1,2023,0,1,0
0.47,1,2023,0,1,0
0.52,2,2023,0,1,0
0.55,2,2023,0,1,0
0.61,2,2023,0,0,0
0.67,2,2023,0,0,0
0.69,2,2023,0,0,0
0.80,3,2023,0,0,0
0.80,3,2023,0,0,0
0.80,4,2023,0,0,0
0.82,4,2023,0,0,0
0.84,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.98,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.86,5,2023,0,0,0
0.89,5,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.60,2,2023,0,1,0
0.79,3,2023,0,0,0
0.82,4,2023,0,0,0
0.83,4,2023,0,0,0
0.83,4,2023,0,0,0
0.86,5,2023,0,0,0
0.87,5,2023,0,0,0
0.87,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.92,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.84,4,2023,0,0,0
0.91,5,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.53,2,2023,0,1,0
0.70,2,2023,0,0,0
0.71,3,2023,0,0,0
0.71,3,2023,0,0,0
0.72,3,2023,0,0,0
0.75,3,2023,0,0,0
0.81,4,2023,0,0,0
0.83,4,2023,0,0,0
0.87,5,2023,0,0,0
0.89,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.72,3,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.97,6,2023,0,0,0
0.47,1,2023,0,1,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
0.50,2,2023,0,0,0
0.83,4,2023,0,0,0
0.92,6,2023,0,0,0
0.97,6,2023,0,0,0
0.57,2,2023,0,1,0
0.82,4,2023,0,0,0
0.98,6,2023,0,0,0
0.00,1,2023,1,0,0
0.47,1,2023,0,1,0
0.53,2,2023,0,1,0
0.79,3,2023,0,0,0
0.80,4,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.88,5,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
0.37,1,2023,0,1,0
0.74,3,2023,0,0,0
0.79,3,2023,0,0,0
0.83,4,2023,0,0,0
0.85,4,2023,0,0,0
0.85,5,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.92,6,2023,0,0,0
0.90,5,2023,0,0,0
0.92,6,2023,0,0,0
0.97,6,2023,0,0,0
0.69,2,2023,0,0,0
0.73,3,2023,0,0,0
0.75,3,2023,0,0,0
0.83,4,2023,0,0,0
0.84,4,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.49,1,2023,0,1,0
0.69,2,2023,0,0,0
0.65,2,2023,0,0,0
0.72,3,2023,0,0,0
0.74,3,2023,0,0,0
0.78,3,2023,0,0,0
0.79,3,2023,0,0,0
0.79,3,2023,0,0,0
0.81,4,2023,0,0,0
0.83,4,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,6,2023,0,0,0
0.96,6,2023,0,0,0
0.97,6,2023,0,0,0
0.00,1,2023,1,0,0
0.29,1,2023,0,0,0
0.70,3,2023,0,0,0
0.72,3,2023,0,0,0
0.72,3,2023,0,0,0
0.74,3,2023,0,0,0
0.82,4,2023,0,0,0
0.85,5,2023,0,0,0
0.88,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,6,2023,0,0,0
0.91,6,2023,0,0,0
0.93,6,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.48,1,2023,0,1,0
0.55,2,2023,0,1,0
0.60,2,2023,0,1,0
0.61,2,2023,0,1,0
0.68,2,2023,0,0,0
0.74,3,2023,0,0,0
0.75,3,2023,0,0,0
0.78,3,2023,0,0,0
0.84,4,2023,0,0,0
0.85,5,2023,0,0,0
0.85,5,2023,0,0,0
0.86,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.94,6,2023,0,0,0
0.94,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.92,6,2023,0,0,0
0.53,2,2023,0,1,0
0.64,2,2023,0,0,0
0.67,2,2023,0,0,0
0.78,3,2023,0,0,0
0.78,3,2023,0,0,0
0.78,3,2023,0,0,0
0.84,4,2023,0,0,0
0.85,4,2023,0,0,0
0.88,5,2023,0,0,0
0.89,5,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.93,6,2023,0,0,0
0.94,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,0,0,0
0.46,1,2023,0,0,0
0.61,2,2023,0,0,0
0.72,3,2023,0,0,0
0.75,3,2023,0,0,0
0.76,3,2023,0,0,0
0.76,3,2023,0,0,0
0.80,3,2023,0,0,0
0.81,4,2023,0,0,0
0.81,4,2023,0,0,0
0.81,4,2023,0,0,0
0.82,4,2023,0,0,0
0.89,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,5,2023,0,0,0
0.91,5,2023,0,0,0
0.92,6,2023,0,0,0
0.93,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.49,1,2023,0,1,0
0.52,2,2023,0,1,0
0.53,2,2023,0,1,0
0.56,2,2023,0,1,0
0.60,2,2023,0,1,0
0.64,2,2023,0,0,0
0.70,2,2023,0,0,0
0.80,3,2023,0,0,0
0.84,4,2023,0,0,0
0.84,4,2023,0,0,0
0.87,5,2023,0,0,0
0.88,5,2023,0,0,0
0.90,5,2023,0,0,0
0.90,5,2023,0,0,0
0.91,6,2023,0,0,0
0.95,6,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.37,1,2023,0,1,0
0.75,3,2023,0,0,0
0.77,3,2023,0,0,0
0.79,3,2023,0,0,0
0.89,5,2023,0,0,0
0.92,6,2023,0,0,0
0.94,6,2023,0,0,0
1.00,6,2023,0,0,0
0.00,1,2023,1,0,0
0.91,6,2023,0,0,0
0.77,3,2023,0,0,0
0.85,4,2023,0,0,0
0.90,5,2023,0,0,0
0.95,6,2023,0,0,0
0.97,6,2023,0,0,0
0.97,6,2023,0,0,0
1.00,6,2023,0,0,0
0.82,4,2023,0,0,0
0.86,5,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
0.26,1,2023,0,0,0
0.70,3,2023,0,0,0
0.92,6,2023,0,0,0
0.95,6,2023,0,0,0
1.00,6,2023,0,0,0
0.69,2,2023,0,0,0
0.75,3,2023,0,0,0
0.77,3,2023,0,0,0
0.79,3,2023,0,0,0
0.79,3,2023,0,0,0
0.86,5,2023,0,0,0
0.96,6,2023,0,0,0
1.00,6,2023,0,0,0
0.94,6,2023,0,0,0
0.63,2,2021,0,0,
0.70,2,2021,0,0,
0.86,5,2021,0,0,
0.92,6,2021,0,0,
0.65,2,2021,0,0,
0.00,1,2021,0,0,
0.21,1,2021,0,0,
0.64,2,2021,0,0,
0.69,2,2021,0,0,
0.88,5,2021,0,0,
0.23,1,2021,0,0,
0.30,1,2021,0,0,
0.52,2,2021,0,0,
0.28,1,2021,0,0,
0.74,3,2021,0,0,
0.55,2,2021,0,0,
0.81,4,2021,0,0,
0.90,5,2021,0,0,
0.42,1,2021,0,0,
0.00,1,2021,0,0,
0.76,3,2021,0,0,
0.50,1,2021,0,0,
0.94,6,2021,0,0,
0.23,1,2021,0,0,
0.20,1,2021,0,0,
0.37,1,2021,0,0,
0.49,1,2021,0,0,
0.53,2,2021,0,0,
0.87,5,2021,0,0,
0.00,1,2021,0,0,
0.06,1,2021,0,0,
0.36,1,2021,0,0,
0.74,3,2021,0,0,
0.12,1,2021,0,0,
0.00,1,2021,0,0,
0.00,1,2021,0,0,
0.28,1,2021,0,0,
0.30,1,2021,0,0,
0.40,1,2021,0,0,
0.28,1,2021,0,0,
0.66,2,2021,0,0,
0.88,5,2021,0,0,
0.95,6,2021,0,0,
0.52,2,2021,0,0,
0.56,2,2021,0,0,
0.00,1,2021,0,0,
0.23,1,2021,0,0,
0.33,1,2021,0,0,
0.49,1,2021,0,0,
0.29,1,2021,0,0,
0.26,1,2021,0,0,
0.33,1,2021,0,0,
0.88,5,2021,0,0,
0.50,1,2021,0,0,
0.66,2,2021,0,0,
0.70,3,2021,0,0,
0.77,3,2021,0,0,
0.78,3,2021,0,0,
0.96,6,2021,0,0,
0.22,1,2021,0,0,
0.34,1,2021,0,0,
0.68,2,2021,0,0,
0.58,2,2021,0,0,
0.70,2,2021,0,0,
0.75,3,2021,0,0,
0.77,3,2021,0,0,
0.94,6,2021,0,0,
0.41,1,2021,0,0,
0.09,1,2021,0,0,
0.35,1,2021,0,0,
0.50,1,2021,0,0,
0.94,6,2021,0,0,
0.00,1,2021,0,0,
0.39,1,2021,0,0,
0.00,1,2021,0,0,
0.14,1,2021,0,0,
0.13,1,2021,0,0,
0.29,1,2021,0,0,
0.29,1,2021,0,0,
0.67,2,2021,0,0,
0.72,3,2021,0,0,
0.88,5,2021,0,0,
0.18,1,2021,0,0,
0.22,1,2021,0,0,
0.77,3,2021,0,0,
0.80,3,2021,0,0,
0.27,1,2021,0,0,
0.76,3,2021,0,0,
0.27,1,2021,0,0,
0.30,1,2021,0,0,
0.70,3,2021,0,0,
0.91,6,2021,0,0,
0.83,4,2021,0,0,1
0.13,1,2021,0,0,1
0.89,5,2021,0,0,1
0.81,4,2021,0,0,1
0.00,1,2021,0,0,1
0.39,1,2021,0,0,1
0.83,4,2021,0,0,1
0.72,3,2021,0,0,1
0.00,1,2021,0,0,1
0.94,6,2021,0,0,1
0.70,3,2021,0,0,1
0.74,3,2021,0,0,1
0.96,6,2021,0,0,1
0.72,3,2021,0,0,1
0.92,6,2021,0,0,1
0.40,1,2022,0,0,1
0.00,1,2022,0,0,1
0.37,1,2022,0,0,1
0.42,1,2022,0,0,1
0.33,1,2022,0,0,1
0.66,2,2022,0,0,1
0.77,3,2022,0,0,1
0.85,5,2022,0,0,1
0.74,3,2022,0,0,1
0.00,1,2022,0,0,1
0.94,6,2022,0,0,1
0.27,1,2022,0,0,1
0.41,1,2022,0,0,1
0.77,3,2022,0,0,1
0.80,4,2022,0,0,1
0.85,4,2022,0,0,1
0.96,6,2022,0,0,1
0.00,1,2022,0,0,1
0.79,3,2022,0,0,1
0.59,2,2022,0,0,1
0.65,2,2022,0,0,1
0.95,6,2022,0,0,1
0.63,2,2022,0,0,1
0.68,2,2022,0,0,1
0.82,4,2022,0,0,1
0.94,6,2022,0,0,1
0.21,1,2022,0,0,1
0.75,3,2022,0,0,1
0.77,3,2022,0,0,1
0.74,3,2022,0,0,1
0.83,4,2022,0,0,1
0.70,2,2022,0,0,1
0.91,5,2022,0,0,1
0.00,1,2022,0,0,1
0.23,1,2022,0,0,1
0.69,2,2022,0,0,1
0.84,4,2022,0,0,1
0.86,5,2022,0,0,1
0.57,2,2022,0,0,1
0.93,6,2022,0,0,1
0.73,3,2022,0,0,1
0.77,3,2022,0,0,1
0.36,1,2022,0,0,1
0.38,1,2022,0,0,1
0.66,2,2022,0,0,1
0.85,4,2022,0,0,1
0.73,3,2022,0,0,1
0.74,3,2022,0,0,1
0.79,3,2022,0,0,1
0.43,1,2022,0,0,1
0.72,3,2022,0,0,1
0.73,3,2022,0,0,1
0.79,3,2022,0,0,1
0.76,3,2022,0,0,1
0.78,3,2022,0,0,1
0.26,1,2022,0,0,1
0.83,4,2022,0,0,1
0.87,5,2022,0,0,1
0.77,3,2022,0,0,1
0.20,1,2022,0,0,1
0.66,2,2022,0,0,1
0.92,6,2022,0,0,1
0.79,3,2022,0,0,1
0.87,5,2022,0,0,1
0.76,3,2022,0,0,1
0.60,2,2022,0,0,1
0.65,2,2022,0,0,1
0.88,5,2022,0,0,1
0.45,1,2022,0,0,1
0.96,6,2022,0,0,1
0.97,6,2022,0,0,1
0.00,1,2022,0,0,1
0.85,4,2022,0,0,1
0.70,3,2022,0,0,1
0.80,3,2022,0,0,1
0.85,4,2022,0,0,1
0.88,5,2022,0,0,1
0.89,5,2022,0,0,1
0.92,6,2023,0,0,1
1.00,6,2023,0,0,1
0.69,2,2023,0,0,1
0.91,6,2023,0,0,1
0.93,6,2023,0,0,1
0.84,4,2023,0,0,1
0.96,6,2023,0,0,1
0.85,5,2023,0,0,1
0.97,6,2023,0,0,1
0.97,6,2023,0,0,1
0.91,5,2023,0,0,1
0.93,6,2023,0,0,1
0.75,3,2023,0,0,1
0.71,3,2023,0,0,1
0.73,3,2023,0,0,1
0.79,3,2023,0,0,1
0.00,1,2023,0,0,1
0.68,2,2023,0,0,1
0.71,3,2023,0,0,1
0.68,2,2023,0,0,1
0.81,4,2023,0,0,1
0.75,3,2023,0,0,1
0.80,4,2023,0,0,1
0.37,1,2023,0,0,1
0.87,5,2023,0,0,1
0.48,1,2023,0,0,1
0.84,4,2023,0,0,1
0.63,2,2023,0,0,1
0.00,1,2023,1,0,1
0.14,1,2023,0,1,1
0.54,2,2023,0,1,1
0.80,3,2023,0,0,1
0.85,4,2023,0,0,1
0.88,5,2023,1,0,1
0.00,1,2023,1,0,1
0.74,3,2023,0,0,1
0.88,5,2023,1,0,1
0.00,1,2023,1,0,1
0.71,3,2023,1,0,1
0.85,5,2023,1,0,1
0.77,3,2023,0,0,1
0.48,1,2023,0,0,1
0.73,3,2023,0,0,1
0.73,3,2021,0,0,
0.48,1,2021,0,0,
0.00,1,2021,0,0,
0.00,1,2021,0,0,
0.60,2,2021,0,0,
0.33,1,2021,0,0,
0.15,1,2021,0,0,
0.30,1,2021,0,0,
0.18,1,2021,0,0,
0.84,4,2021,0,0,
0.40,1,2021,0,0,
0.77,3,2021,0,0,
0.31,1,2021,0,0,
0.33,1,2021,0,0,
0.80,3,2021,0,0,
0.86,5,2022,0,0,1
0.94,6,2022,0,0,1
0.00,1,2022,0,0,1
0.34,1,2022,0,0,1
0.83,4,2022,0,0,1
0.79,3,2022,0,0,1
0.73,3,2022,0,0,1
0.41,1,2022,0,0,1
0.95,6,2022,0,0,1
0.72,3,2022,0,0,1
0.42,1,2022,0,0,1
0.72,3,2022,0,0,1
0.88,5,2022,0,0,1
1.00,6,2022,0,0,1
0.88,5,2022,0,0,1
0.44,1,2022,0,0,1
1.00,6,2022,0,0,1
0.91,5,2022,0,0,1
1.00,6,2022,0,0,1
0.92,6,2022,0,0,1
0.88,5,2022,0,0,1
1.00,6,2022,0,0,1
0.46,1,2022,0,0,1
0.92,6,2022,0,0,1
0.98,6,2022,0,0,1
0.83,4,2022,0,0,1
0.77,3,2022,0,0,1
0.73,3,2022,0,0,1
0.73,3,2022,0,0,1
0.91,6,2022,0,0,1
0.73,3,2022,0,0,1
0.89,5,2022,0,0,1
0.78,3,2022,0,0,1
0.91,5,2022,0,0,1
0.59,2,2022,0,0,1
1.00,6,2022,0,0,1
0.93,6,2022,0,0,1
0.84,4,2022,0,0,1
0.95,6,2022,0,0,1
0.93,6,2022,0,0,1
0.97,6,2022,0,0,1
0.91,5,2022,0,0,1
